author,ARTICLE_COUNT,LATEST_ARTICLE_DATE,DISTINCT_SOURCES
"Alexander E. Ulanov, Bastian Ruhnke, Thibault Wildi, Tobias Herr",1,2025-11-28T00:00:00Z,1
Kotaku Deals,1,2025-11-28T01:35:27Z,1
"theweekonlineeditorsuk@futurenet.com (Chas Newkey-Burden, The Week UK) , Chas Newkey-Burden, The Week UK",1,2025-11-28T02:00:34Z,1
"Meena Chettri, Nilankar Diyali, Bhaskar Biswas",1,2025-11-28T00:00:00Z,1
list.metadata.agency,1,2025-11-28T01:08:33Z,1
"Nobutaka Kato, Eamon Comer, Tomoyo Sakata-Kato, Arvind Sharma, Manmohan Sharma, Micah Maetani, Jessica Bastien, Nicolas M. Brancucci, Joshua A. Bittker, Victoria Corey, David Clarke, Emily R. Derbyshire, Gillian L. Dornan, Sandra Duffy, Sean Eckley, Maurice A. Itoe, Karin M. J. Koolen, Timothy A. Lewis, Ping S. Lui, Amanda K. Lukens, Emily Lund, Sandra March, Elamaran Meibalan, Bennett C. Meier, Jacob A. McPhail, Branko Mitasev, Eli L. Moss, Morgane Sayes, Yvonne Van Gessel, Mathias J. Wawer, Takashi Yoshinaga, Anne-Marie Zeeman, Vicky M. Avery, Sangeeta N. Bhatia, John E. Burke, Flaminia Catteruccia, Jon C. Clardy, Paul A. Clemons, Koen J. Dechering, Jeremy R. Duvall, Michael A. Foley, Fabian Gusovsky, Clemens H. M. Kocken, Matthias Marti, Marshall L. Morningstar, Benito Munoz, Daniel E. Neafsey, Amit Sharma, Elizabeth A. Winzeler, Dyann F. Wirth, Christina A. Scherer, Stuart L. Schreiber",1,2025-11-28T00:00:00Z,1
Tony Ware,1,2025-11-28T00:51:00Z,1
"Xiaolong Li, Yanni Wang, Tingting He, Jian Tian, Fangyu Qiao, Daxiu Li",1,2025-11-28T00:00:00Z,1
KS Badri Narayanan,1,2025-11-28T02:14:22Z,1
"Jun Li, Yuling Xu, Yida Pang, Fang Zhao, Wenjun Zhang, Chonglu Li, Honglin Jin, Chao Yuan, Suhua Wang, Yao Sun",1,2025-11-28T00:00:00Z,1
"Pengyu Zhu, Zhilei Wang, Yingjun Fang, Wenchao Wu, Yang yang Wu, Limin Ruan, Jinling Zhao, Wei Zeng",1,2025-11-28T00:00:00Z,1
Aishwarya Gupta,1,2025-11-28T00:00:00Z,1
John Pike,1,2025-11-28T01:22:06Z,1
Eric G,1,2025-11-28T01:00:00Z,1
Vipin  Sondhi & Anurag  Srivastava,1,2025-11-28T00:30:00Z,1
Emma Sutton-Williams,1,2025-11-28T01:00:00Z,1
By Francesco Guarascio,1,2025-11-28T00:36:22Z,1
Wallace White,1,2025-11-28T00:59:41Z,1
Global Times,1,2025-11-28T00:57:00Z,1
efffex,1,2025-11-28T00:15:22Z,1
"Guangjian Wang, Mingxiang Li, Qiao Liu, Junwei Zang, Oupeng Li, Xianfeng Du, Liangyuan Xu, Meixia Tao, Chong Han",1,2025-11-28T00:00:00Z,1
"Nguyen Khoa Hien, Mai Van Bay, Quan V. Vo, Son Tung Ngo, Doan Thanh Nhan, Pham Cam Nam, Duong Tuan Quang",1,2025-11-28T00:00:00Z,1
"Hua Ye, Wenjie Gong, Ping Yuan, Ruiqi Zhang, Beibei He, Wei Lin",1,2025-11-28T00:00:00Z,1
Kiran Rathee,1,2025-11-28T00:00:00Z,1
"Danni Yang, Jingjing Wu, Tao Li, Linfeng Yi, Riyue Ge, Ziqi Sun, Huakun Liu, Shi Xue Dou, Ding Yuan, Yuhai Dou",1,2025-11-28T00:00:00Z,1
Northern Advocate,1,2025-11-28T01:00:00Z,1
jpugachevsky@businessinsider.com (Julia Pugachevsky),1,2025-11-28T01:16:42Z,1
JJ,1,2025-11-28T00:41:15Z,1
"Yan-Lung Wong, Wei Huang, Cuili Zhang, Lang Wang, Shengbo Lu, Chenmin Liu",1,2025-11-28T00:00:00Z,1
Maria Diaz,1,2025-11-28T02:12:00Z,1
Kim LaCapria,1,2025-11-28T00:05:00Z,1
"Wojciech Ryś, Iaroslav Lutsyk, Maxime Le Ster, Przemysław Przybysz, Jagoda Sławińska, Paweł Dąbrowski, Maciej Rogala, Karol Szałowski, Tomasz Sobol, Ewa Partyka-Jankowska, Magdalena Szczepanik, Iwona Pasternak, Aleksandra Krajewska, Mindaugas Lukosius, Guan Biang, Paweł J. Kowalczyk",1,2025-11-28T00:00:00Z,1
Romy Gilbert and Melinda James,1,2025-11-28T02:07:21Z,1
MarketsandMarkets Research Pvt. Ltd.,1,2025-11-28T00:30:00Z,1
James Halver,1,2025-11-28T01:00:03Z,1
"Wanchun Duan, Dongming Chen, Dang Zheng, Shidong He, Wanqun Hu, Lvyuan Hao, Xin Xu",1,2025-11-28T00:00:00Z,1
Pratiksha Thayil,1,2025-11-28T01:25:49Z,1
scmp.com,1,2025-11-28T00:37:13Z,1
The Economist,1,2025-11-28T00:05:18Z,1
Moonbattery,1,2025-11-28T00:09:34Z,1
"Shota Ishida, Koichi Miyagawa, Mitsuo Shoji",1,2025-11-28T00:00:00Z,1
Faraday&Future Inc.,1,2025-11-28T02:06:00Z,1
"Muhannad Abu-Remaileh, Laura A. Stransky, Nikita Bhalerao, Nitin H. Shirole, Qinqin Jiang, Eddy Saad, Marc Machaalani, Sean M. Vigeant, Hilina Woldemichael, Charles Xu, Jing Lu, Hairong Wei, Zhihong Liu, William Sun, Kei Enomoto, Toni K. Choueiri, Jason R. Pitarresi, Steven A. Carr, Namrata D. Udeshi, William G. Kaelin Jr",1,2025-11-28T00:00:00Z,1
